iso_alpha,sex,year_,mean_urban,mean_rural
AFG,Men,1985,22.4252353,19.74122778
AFG,Men,1986,22.45779953,19.82459356
AFG,Men,1987,22.49047636,19.90807195
AFG,Men,1988,22.52356367,19.99196082
AFG,Men,1989,22.55674432,20.07594302
AFG,Men,1990,22.59013578,20.16013604
AFG,Men,1991,22.62387222,20.24467403
AFG,Men,1992,22.65837825,20.32998162
AFG,Men,1993,22.69360437,20.41600929
AFG,Men,1994,22.72983542,20.5030419
AFG,Men,1995,22.76725678,20.59126482
AFG,Men,1996,22.8062015,20.6810111
AFG,Men,1997,22.84652565,20.7721368
AFG,Men,1998,22.88819973,20.86461243
AFG,Men,1999,22.93092815,20.95814242
AFG,Men,2000,22.97360803,21.05162385
AFG,Men,2001,23.01591214,21.14472951
AFG,Men,2002,23.05734928,21.23696821
AFG,Men,2003,23.09726525,21.32768574
AFG,Men,2004,23.13548176,21.41670381
AFG,Men,2005,23.17143126,21.50345486
AFG,Men,2006,23.20511537,21.58794053
AFG,Men,2007,23.23765634,21.67128305
AFG,Men,2008,23.26944619,21.75387446
AFG,Men,2009,23.30105394,21.83628376
AFG,Men,2010,23.33263149,21.91866287
AFG,Men,2011,23.36492494,22.00175788
AFG,Men,2012,23.39799901,22.0856335
AFG,Men,2013,23.43205402,22.17049007
AFG,Men,2014,23.46659113,22.25582873
AFG,Men,2015,23.50148709,22.34152625
AFG,Men,2016,23.53670788,22.4275486
AFG,Men,2017,23.57164039,22.51328266
ALB,Men,1985,25.36094946,25.03932619
ALB,Men,1986,25.3792557,25.06303357
ALB,Men,1987,25.39744569,25.08662469
ALB,Men,1988,25.41576711,25.11034723
ALB,Men,1989,25.43460865,25.13458991
ALB,Men,1990,25.4549132,25.16029559
ALB,Men,1991,25.47675906,25.18754258
ALB,Men,1992,25.50118763,25.21737228
ALB,Men,1993,25.52927489,25.25086067
ALB,Men,1994,25.5613629,25.28834982
ALB,Men,1995,25.59789281,25.33028085
ALB,Men,1996,25.6395802,25.37736938
ALB,Men,1997,25.68666821,25.42985851
ALB,Men,1998,25.73951039,25.48810183
ALB,Men,1999,25.79803643,25.552029
ALB,Men,2000,25.86079376,25.62018746
ALB,Men,2001,25.92684053,25.69163535
ALB,Men,2002,25.99504846,25.76524442
ALB,Men,2003,26.06511648,25.84071357
ALB,Men,2004,26.13552243,25.91652065
ALB,Men,2005,26.20523051,25.99162986
ALB,Men,2006,26.2732364,26.06503689
ALB,Men,2007,26.33959316,26.13679478
ALB,Men,2008,26.40414394,26.20674668
ALB,Men,2009,26.46802128,26.27602516
ALB,Men,2010,26.53170123,26.34510623
ALB,Men,2011,26.59578233,26.41458846
ALB,Men,2012,26.66124211,26.48544938
ALB,Men,2013,26.7285113,26.5581197
ALB,Men,2014,26.79797972,26.63298925
ALB,Men,2015,26.8689359,26.70934656
ALB,Men,2016,26.9411791,26.7869909
