iso_alpha,year_,healthy_unaffordable_share
ALB,2017,37.8
ALB,2018,27.9
ALB,2019,19.8
ALB,2020,20.1
DZA,2017,35.2
DZA,2018,33.9
DZA,2019,31.8
DZA,2020,30.2
AGO,2017,92.9
AGO,2018,93.4
AGO,2019,93.9
AGO,2020,94.3
ARG,2017,11.0
ARM,2017,40.9
ARM,2018,41.7
ARM,2019,43.6
ARM,2020,42.9
AUS,2017,0.7
AUS,2018,0.7
AUS,2019,0.7
AUS,2020,0.7
AUT,2017,0.6
AUT,2018,0.8
AUT,2019,0.8
AUT,2020,0.8
AZE,2017,0.0
AZE,2018,0.0
AZE,2019,0.0
AZE,2020,0.0
BGD,2017,77.4
BGD,2018,74.6
BGD,2019,73.5
BGD,2020,73.5
BLR,2017,0.8
BLR,2018,0.5
BLR,2019,0.3
BLR,2020,0.2
BEL,2017,0.3
BEL,2018,0.2
BEL,2019,0.2
BEL,2020,0.2
BLZ,2017,39.4
BLZ,2018,37.4
BLZ,2019,37.0
BLZ,2020,36.4
BEN,2017,90.7
BEN,2018,87.1
BEN,2019,82.9
BEN,2020,82.9
BTN,2017,57.6
BTN,2018,52.2
BTN,2019,50.0
BTN,2020,53.0
BOL,2017,30.2
BOL,2018,28.6
BOL,2019,25.4
BOL,2020,24.7
BIH,2017,4.6
BIH,2018,4.0
BIH,2019,3.6
BIH,2020,3.7
BWA,2017,63.8
BWA,2018,61.5
BWA,2019,60.8
BWA,2020,61.4
BRA,2017,18.3
BRA,2018,17.2
BRA,2019,17.5
BRA,2020,19.0
BGR,2017,11.3
BGR,2018,9.0
BGR,2019,8.0
BGR,2020,8.5
BFA,2017,85.1
BFA,2018,82.2
BFA,2019,79.4
BFA,2020,80.1
BDI,2017,97.5
BDI,2018,97.0
BDI,2019,96.9
BDI,2020,97.2
CMR,2017,60.9
CMR,2018,60.4
CMR,2019,60.2
CMR,2020,60.7
CAN,2017,0.7
CAN,2018,0.7
CAN,2019,0.5
CAN,2020,0.7
CAF,2017,95.4
CAF,2018,95.2
CAF,2019,95.1
CAF,2020,95.1
TCD,2017,84.9
TCD,2018,83.3
TCD,2019,81.9
TCD,2020,83.4
CHL,2017,3.4
CHL,2018,3.3
CHL,2019,3.3
CHL,2020,3.8
CHN,2017,14.3
CHN,2018,11.4
CHN,2019,10.0
CHN,2020,12.0
COL,2017,24.7
COL,2018,24.3
COL,2019,25.3
COL,2020,26.5
COG,2017,91.6
COG,2018,92.4
COG,2019,92.4
COG,2020,92.4
CRI,2017,16.2
CRI,2018,16.6
CRI,2019,16.6
CRI,2020,16.8
HRV,2017,7.2
HRV,2018,4.7
HRV,2019,3.6
HRV,2020,3.8
CYP,2017,0.1
